TransactionNo,TransactionDate,TransactionType,Location,CustomerCode,CustomerName,ItemCategory,ItemCode,ItemName,SKU,ProductAttributes,BatchNo,StockType,Cost,SaleQty,SaleBonusQty,SaleTotalQty,MRP,SaleAmount,SR_Qty,SR_BonusQty,SR_TotalQty,SR_Rate,SR_Amount,DiscountAmount,OtherCharge,VATAmount,TAXAmount,LocationAddress,CustomerAddress,CustomerBirthDate,CustomerMarriageStatus,CustomerAgeInYear,PerInvoiceAverageAmount
S-18334,25-Oct-23,Sale,Brahmaputra,C-000173,M/S Bhai Bon Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P07-10-23,OUT,250.00 ,50.00,4.00,54.00,940.00,47000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh",Vill:Soratia Post:Bhoilajan Shop Location:Shibganj Hatkalir bazar Upazila:Fulbaria  Zilla:Mymensingh,4-Mar-88,NO,35 Year,44439.81
S-18333,25-Oct-23,Sale,Brahmaputra,C-000175,M/S Siddik Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P07-10-23,OUT,250.00 ,10.00,0.00,10.00,940.00,9400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Vill:Gosthakandapara Post:Dapunia Shop Location:Kheruajani,Chonderbazar Upazila:Muktagachha  Zilla:Mymensingh",2-Jun-86,NO,37 Year,12013.21
S-18301,22-Oct-23,Sale,Brahmaputra,C-000295,M/S Nupur Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P 07-10.23,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Shoilati,Koilati, Fotapur Royalbari, Kandya, Netrokona",5-Jun-81,NO,42 Year,92327.94
S-18300,21-Oct-23,Sale,Brahmaputra,C-000163,M/S Bismillah Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P060724,OUT,250.00 ,6.00,0.00,6.00,940.00,5640.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Banail Bazar, Tarail.",26-Aug-90,NO,33 Year,16732.52
S-18260,19-Oct-23,Sale,Brahmaputra,C-000880,M/S Ashraf Agro Complex,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P 07-10.23,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","kalibari,Jhanaigati ,Sherpur",10-May-93,NO,30 Year,11170.89
S-18218,16-Oct-23,Sale,Brahmaputra,C-000210,M/S Showdagor Sheikh forid fish feed,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P 07-10.23,OUT,250.00 ,100.00,10.00,110.00,940.00,94000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Kashegonz, Phulpur, Mymensingh",4-Apr-88,NO,35 Year,136129.58
S-18197,16-Oct-23,Sale,Brahmaputra,C-000045,M/S Tasnim Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P 07-10.23,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Chonkanda Milon bazar, Jorbaria  Post:Fulbaria ,Upazila:Fulbaria,  Zilla:Mymensingh",10-Feb-87,NO,36 Year,27274.83
S-18168,15-Oct-23,Sale,Brahmaputra,C-000279,M/S Mondol Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P 07-10.23,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Kolsindur bazar, Dhobaura, Mymensingh.",1-May-88,YES,35 Year,31217.98
S-18038,8-Oct-23,Sale,Brahmaputra,C-000268,M/S Chacha Vatiza Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P060724,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Tinani, Jhenaigati, Sherpur.",1-Jan-85,NO,38 Year,16708.05
S-17951,4-Oct-23,Sale,Brahmaputra,C-000098,M/S Al Amin Mondol Store,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P060724,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Amodpur, Majheeali, Tarakanda, Mymensingh",5-Nov-88,YES,35 Year,60293.05
S-17822,1-Oct-23,Sale,Brahmaputra,C-000948,M/S Kawsar Ahmed Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P060723,OUT,250.00 ,2.00,0.00,2.00,940.00,1880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh",Luxmigonj bazar sador Kishoregonj,25-Jun-85,NO,38 Year,19977.16
S-17775,27-Sep-23,Sale,Brahmaputra,C-000976,M/S Durjoy Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P06-07-23,OUT,250.00 ,16.00,0.00,16.00,940.00,15040.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Bashati Bazar, Nandail, Mymensingh",18-Jul-93,NO,30 Year,35418.62
S-17775,27-Sep-23,Sale,Brahmaputra,C-000976,M/S Durjoy Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P060723,OUT,250.00 ,24.00,3.00,27.00,940.00,22560.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Bashati Bazar, Nandail, Mymensingh",18-Jul-93,NO,30 Year,35418.62
S-17773,27-Sep-23,Sale,Brahmaputra,C-000534,M/S Atahar Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P060723,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Gangail bazar, Nandail, Mymenshingh.",25-Nov-88,NO,35 Year,26931.35
S-17416,10-Sep-23,Sale,Brahmaputra,C-001081,M/S Milon Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P06-07-23,OUT,250.00 ,2.00,0.00,2.00,940.00,1880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Dansail,Jhenaigati,Sherpur",12-Mar-95,NO,28 Year,5558.05
S-17196,4-Sep-23,Sale,Brahmaputra,C-000918,M/S Mukit & Afra Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P06-07-23,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh",Address:Vill+Post:Boddobari  Upazila:Fulbaria  Zilla:Mymensingh,21-Dec-93,NO,30 Year,35111.33
S-17091,30-Aug-23,Sale,Brahmaputra,C-000267,M/S Alifta Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P06-07-23,OUT,250.00 ,10.00,0.00,10.00,940.00,9400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Sreebardi sadar, Sherpur.",30-Dec-75,NO,48 Year,20700.96
S-16944,24-Aug-23,Sale,Brahmaputra,C-000270,M/S Al-Amin Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P06-07-23,OUT,250.00 ,40.00,3.00,43.00,940.00,37600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Dhurail Bazar, Haluaghat, Mymensingh.",18-Oct-78,YES,45 Year,35590.73
S-16930,24-Aug-23,Sale,Brahmaputra,C-000279,M/S Mondol Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,POB-07-23,OUT,250.00 ,2.00,0.00,2.00,940.00,1880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Kolsindur bazar, Dhobaura, Mymensingh.",1-May-88,YES,35 Year,31217.98
S-16930,24-Aug-23,Sale,Brahmaputra,C-000279,M/S Mondol Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P06-07-23,OUT,250.00 ,8.00,0.00,8.00,940.00,7520.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Kolsindur bazar, Dhobaura, Mymensingh.",1-May-88,YES,35 Year,31217.98
S-16927,24-Aug-23,Sale,Brahmaputra,C-000332,M/S Shahin Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,POB-07-23,OUT,250.00 ,5.00,0.00,5.00,940.00,4700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Chorhossainpur, Ishwargonj Shadar ,Mymenshingh.",1-Feb-69,NO,54 Year,31747.84
S-16827,22-Aug-23,Sale,Brahmaputra,C-000677,M/S Abid Talukder,Aqua Product,I-00202,Clean 100ml,ml,100 ml,PO5-02-23,OUT,250.00 ,14.00,0.00,14.00,940.00,13160.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Oboipasha,Atpara,Netrokona.",12-Oct-89,NO,34 Year,35669.3
S-16827,22-Aug-23,Sale,Brahmaputra,C-000677,M/S Abid Talukder,Aqua Product,I-00202,Clean 100ml,ml,100 ml,POB-07-23,OUT,250.00 ,6.00,1.00,7.00,940.00,5640.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Oboipasha,Atpara,Netrokona.",12-Oct-89,NO,34 Year,35669.3
S-16807,21-Aug-23,Sale,Brahmaputra,C-000935,M/S Fuyad Hasan Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,POB-07-23,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Khurar moor,Deokhola,Fulbaria",3-May-85,NO,38 Year,69012.92
S-16795,21-Aug-23,Sale,Brahmaputra,C-000173,M/S Bhai Bon Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,POB-07-23,OUT,250.00 ,60.00,5.00,65.00,940.00,56400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh",Vill:Soratia Post:Bhoilajan Shop Location:Shibganj Hatkalir bazar Upazila:Fulbaria  Zilla:Mymensingh,4-Mar-88,NO,35 Year,44439.81
S-16773,20-Aug-23,Sale,Brahmaputra,C-000068,M/S Ambia Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,PO5-02-23,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Vill:Chandpur  Post:Vhalukjan, Upazila:Fulbaria  Zilla:Mymensingh",12-Jan-82,NO,41 Year,28520.47
S-16681,16-Aug-23,Sale,Brahmaputra,C-000279,M/S Mondol Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P04-03-23,OUT,250.00 ,1.00,0.00,1.00,940.00,940.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Kolsindur bazar, Dhobaura, Mymensingh.",1-May-88,YES,35 Year,31217.98
S-16681,16-Aug-23,Sale,Brahmaputra,C-000279,M/S Mondol Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,PO5-02-23,OUT,250.00 ,4.00,0.00,4.00,940.00,3760.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Kolsindur bazar, Dhobaura, Mymensingh.",1-May-88,YES,35 Year,31217.98
S-16313,3-Aug-23,Sale,Brahmaputra,C-000356,M/S Islam Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,PO5-02-23,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Maijbag Bazar, Ishwargonj, Mymenshingh",10-Feb-87,NO,36 Year,58340.12
S-16226,1-Aug-23,Sale,Brahmaputra,C-000163,M/S Bismillah Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,PO5-02-23,OUT,250.00 ,40.00,3.00,43.00,940.00,37600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Banail Bazar, Tarail.",26-Aug-90,NO,33 Year,16732.52
S-16165,30-Jul-23,Sale,Brahmaputra,C-000973,M/S Hannan Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,PO5-02-23,OUT,250.00 ,40.00,3.00,43.00,940.00,37600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Gashigau more, Haluaghat, Mymensingh.",17-Nov-89,NO,34 Year,28027.58
S-16088,25-Jul-23,Sale,Brahmaputra,C-000245,M/S Bismillah Drug,Aqua Product,I-00202,Clean 100ml,ml,100 ml,PO5-02-23,OUT,250.00 ,40.00,3.00,43.00,940.00,37600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","College Road,Bodo hissa bazar,Muktagacha  purosova,Mymensingh.",31-Dec-87,NO,36 Year,56329.79
S-15827,16-Jul-23,Sale,Brahmaputra,C-000164,M/S Tasin Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P04-03-23,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Vill:Jorbaria  Post:Fulbaria  Shop Location: Infront of Fulbaria Thana,Fulbaria Sadar Upazila:Fulbaria  Zilla:Mymensingh",1-Jan-85,NO,38 Year,32294.06
S-15754,13-Jul-23,Sale,Brahmaputra,C-000068,M/S Ambia Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P04-03-23,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Vill:Chandpur  Post:Vhalukjan, Upazila:Fulbaria  Zilla:Mymensingh",12-Jan-82,NO,41 Year,28520.47
S-15688,11-Jul-23,Sale,Brahmaputra,C-000948,M/S Kawsar Ahmed Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P04-03-23,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh",Luxmigonj bazar sador Kishoregonj,25-Jun-85,NO,38 Year,19977.16
S-15607,10-Jul-23,Sale,Brahmaputra,C-000095,M/S Khan Agro Farm,Aqua Product,I-00202,Clean 100ml,ml,100 ml,PO5-02-23,OUT,250.00 ,100.00,11.00,111.00,940.00,94000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Tarakanda, Mymensingh.",30-Dec-80,YES,43 Year,223788.7
S-15601,10-Jul-23,Sale,Brahmaputra,C-000477,M/S Ma Poultry And Fish Feed (Purbodhola),Aqua Product,I-00202,Clean 100ml,ml,100 ml,P04-03-23,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Purbodhala,Netrokona,Mymensingh",21-Sep-89,NO,34 Year,92980.71
S-15564,10-Jul-23,Sale,Brahmaputra,C-000266,M/S Rofiqul Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P04-03-23,OUT,250.00 ,60.00,5.00,65.00,940.00,56400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh",Nakla Sadar Sherpur,1-Mar-69,YES,54 Year,27538.23
S-15001,15-Jun-23,Sale,Brahmaputra,C-000245,M/S Bismillah Drug,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P04-03-23,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","College Road,Bodo hissa bazar,Muktagacha  purosova,Mymensingh.",31-Dec-87,NO,36 Year,56329.79
S-14961,14-Jun-23,Sale,Brahmaputra,C-000976,M/S Durjoy Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P04-03-23,OUT,250.00 ,30.00,1.00,31.00,940.00,28200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Bashati Bazar, Nandail, Mymensingh",18-Jul-93,NO,30 Year,35418.62
S-14806,10-Jun-23,Sale,Brahmaputra,C-000015,M/S Hoidor Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P04-03-23,OUT,250.00 ,5.00,0.00,5.00,940.00,4700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh",Noyanbari Post:Mohammad Nagor Shop Location:Borka Notun bazar  Upazila:Fulbaria  Zilla:Mymensingh,15-Mar-74,NO,49 Year,46238.53
S-14749,7-Jun-23,Sale,Brahmaputra,C-000643,M/S  Akando Store,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P04-03-23,OUT,250.00 ,10.00,0.00,10.00,940.00,9400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Fokirebari Mor, Kishorganj",28-Feb-84,NO,39 Year,8920.83
S-14458,28-May-23,Sale,Brahmaputra,C-000279,M/S Mondol Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P04-03-23,OUT,250.00 ,10.00,0.00,10.00,940.00,9400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Kolsindur bazar, Dhobaura, Mymensingh.",1-May-88,YES,35 Year,31217.98
S-14319,21-May-23,Sale,Brahmaputra,C-000270,M/S Al-Amin Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P04-03-23,OUT,250.00 ,40.00,3.00,43.00,940.00,37600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Dhurail Bazar, Haluaghat, Mymensingh.",18-Oct-78,YES,45 Year,35590.73
S-14316,21-May-23,Sale,Brahmaputra,C-000175,M/S Siddik Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P04-03-23,OUT,250.00 ,5.00,0.00,5.00,940.00,4700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Vill:Gosthakandapara Post:Dapunia Shop Location:Kheruajani,Chonderbazar Upazila:Muktagachha  Zilla:Mymensingh",2-Jun-86,NO,37 Year,12013.21
S-14264,18-May-23,Sale,Brahmaputra,C-000683,M/S Farabi Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P04-03-23,OUT,250.00 ,10.00,0.00,10.00,940.00,9400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Milongonj, Sador, Kishorganj",1-Oct-79,NO,44 Year,13322.33
S-14236,16-May-23,Sale,Brahmaputra,C-001011,M/S Simanto motsha khamar,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P04-03-23,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Sekerhati,Sherpursadar, Sherpur.",10-Sep-98,NO,25 Year,14631.6
S-14196,14-May-23,Sale,Brahmaputra,C-000295,M/S Nupur Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P04-03-23,OUT,250.00 ,50.00,3.00,53.00,940.00,47000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Shoilati,Koilati, Fotapur Royalbari, Kandya, Netrokona",5-Jun-81,NO,42 Year,92327.94
S-14182,11-May-23,Sale,Brahmaputra,C-000091,M/S Bokul Fish Feed,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P04-03-23,OUT,250.00 ,5.00,0.00,5.00,940.00,4700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Kharsha, Phulpur, Mymensing",1-Jan-94,NO,29 Year,22387.66
S-14181,11-May-23,Sale,Brahmaputra,C-000045,M/S Tasnim Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P04-03-23,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Chonkanda Milon bazar, Jorbaria  Post:Fulbaria ,Upazila:Fulbaria,  Zilla:Mymensingh",10-Feb-87,NO,36 Year,27274.83
S-14152,10-May-23,Sale,Brahmaputra,C-000677,M/S Abid Talukder,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P04-02-22,OUT,250.00 ,6.00,0.00,6.00,940.00,5640.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Oboipasha,Atpara,Netrokona.",12-Oct-89,NO,34 Year,35669.3
S-14152,10-May-23,Sale,Brahmaputra,C-000677,M/S Abid Talukder,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P04-03-23,OUT,250.00 ,14.00,1.00,15.00,940.00,13160.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Oboipasha,Atpara,Netrokona.",12-Oct-89,NO,34 Year,35669.3
S-14112,8-May-23,Sale,Brahmaputra,C-000245,M/S Bismillah Drug,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P04-02-22,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","College Road,Bodo hissa bazar,Muktagacha  purosova,Mymensingh.",31-Dec-87,NO,36 Year,56329.79
S-14056,8-May-23,Sale,Brahmaputra,C-000880,M/S Ashraf Agro Complex,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P04-02-22,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","kalibari,Jhanaigati ,Sherpur",10-May-93,NO,30 Year,11170.89
S-14016,7-May-23,Sale,Brahmaputra,C-000268,M/S Chacha Vatiza Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P04-02-22,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Tinani, Jhenaigati, Sherpur.",1-Jan-85,NO,38 Year,16708.05
S-13906,2-May-23,Sale,Brahmaputra,C-000101,M/S Anisha Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,PO4-02-23,OUT,250.00 ,200.00,0.00,200.00,940.00,188000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Rampur, Goalkandi, Tarakanda, Mymensingh",1-Jan-89,YES,34 Year,186021.36
S-13906,2-May-23,Sale,Brahmaputra,C-000101,M/S Anisha Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P04-02-22,OUT,250.00 ,0.00,25.00,25.00,940.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Rampur, Goalkandi, Tarakanda, Mymensingh",1-Jan-89,YES,34 Year,186021.36
S-13799,27-Apr-23,Sale,Brahmaputra,C-000356,M/S Islam Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P04-02-22,OUT,250.00 ,5.00,0.00,5.00,940.00,4700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Maijbag Bazar, Ishwargonj, Mymenshingh",10-Feb-87,NO,36 Year,58340.12
S-13571,13-Apr-23,Sale,Brahmaputra,C-001017,M/S Khorsed  Traders (Srebordi),Aqua Product,I-00202,Clean 100ml,ml,100 ml,P04-02-22,OUT,250.00 ,6.00,0.00,6.00,940.00,5640.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Vayadanga,Sreebardi, Sherpur",10-Mar-74,NO,49 Year,21250.97
